iter	Passed	Remaining
600	1987	1319
601	1990	1316
602	1993	1312
603	1996	1309
604	1999	1305
605	2002	1302
606	2005	1298
607	2008	1295
608	2012	1291
609	2015	1288
610	2018	1285
611	2021	1281
612	2024	1278
613	2027	1274
614	2030	1271
615	2033	1267
616	2036	1264
617	2039	1260
618	2042	1257
619	2045	1253
620	2048	1250
621	2051	1246
622	2054	1243
623	2058	1240
624	2060	1236
625	2063	1233
626	2067	1229
627	2070	1226
628	2073	1222
629	2076	1219
630	2079	1215
631	2082	1212
632	2085	1208
633	2087	1205
634	2090	1201
635	2093	1198
636	2096	1194
637	2100	1191
638	2103	1188
639	2106	1184
640	2109	1181
641	2112	1177
642	2116	1174
643	2119	1171
644	2122	1167
645	2124	1164
646	2128	1161
647	2131	1157
648	2134	1154
649	2137	1150
650	2140	1147
651	2143	1143
652	2146	1140
653	2149	1137
654	2152	1133
655	2155	1130
656	2158	1126
657	2161	1123
658	2164	1120
659	2168	1117
660	2171	1113
661	2174	1110
662	2177	1106
663	2180	1103
664	2183	1099
665	2186	1096
666	2189	1093
667	2192	1089
668	2195	1086
669	2198	1082
670	2201	1079
671	2204	1076
672	2207	1072
673	2210	1069
674	2213	1065
675	2216	1062
676	2219	1059
677	2223	1055
678	2226	1052
679	2229	1049
680	2232	1045
681	2235	1042
682	2239	1039
683	2241	1035
684	2244	1032
685	2248	1029
686	2251	1025
687	2254	1022
688	2257	1018
689	2260	1015
690	2263	1012
691	2266	1008
692	2269	1005
693	2272	1001
694	2275	998
695	2278	995
696	2281	991
697	2284	988
698	2287	984
699	2289	981
700	2292	977
701	2295	974
702	2298	971
703	2301	967
704	2304	964
705	2307	960
706	2310	957
707	2313	954
708	2316	950
709	2319	947
710	2322	943
711	2325	940
712	2328	937
713	2331	933
714	2334	930
715	2337	927
716	2340	923
717	2343	920
718	2346	917
719	2349	913
720	2352	910
721	2355	906
722	2358	903
723	2361	900
724	2364	896
725	2367	893
726	2370	889
727	2372	886
728	2375	883
729	2378	879
730	2381	876
731	2385	873
732	2388	869
733	2391	866
734	2394	863
735	2397	860
736	2400	856
737	2403	853
738	2406	850
739	2409	846
740	2412	843
741	2415	839
742	2418	836
743	2421	833
744	2424	829
745	2427	826
746	2430	823
747	2433	819
748	2436	816
749	2439	813
750	2442	809
751	2445	806
752	2448	803
753	2451	799
754	2454	796
755	2457	793
756	2460	789
757	2463	786
758	2466	783
759	2469	779
760	2472	776
761	2475	773
762	2478	769
763	2481	766
764	2484	763
765	2487	759
766	2490	756
767	2493	753
768	2496	749
769	2499	746
770	2502	743
771	2505	740
772	2508	736
773	2511	733
774	2514	730
775	2518	726
776	2521	723
777	2524	720
778	2527	717
779	2530	713
780	2533	710
781	2536	707
782	2539	703
783	2542	700
784	2545	697
785	2548	693
786	2551	690
787	2554	687
788	2557	684
789	2560	680
790	2564	677
791	2567	674
792	2570	670
793	2573	667
794	2576	664
795	2579	661
796	2582	657
797	2585	654
798	2588	651
799	2591	647
800	2594	644
801	2597	641
802	2600	637
803	2603	634
804	2606	631
805	2609	628
806	2612	624
807	2615	621
808	2618	618
809	2621	614
810	2624	611
811	2627	608
812	2630	605
813	2634	601
814	2636	598
815	2639	595
816	2643	592
817	2645	588
818	2649	585
819	2652	582
820	2655	578
821	2658	575
822	2661	572
823	2664	569
824	2667	565
825	2670	562
826	2673	559
827	2676	555
828	2678	552
829	2681	549
830	2685	546
831	2688	542
832	2691	539
833	2694	536
834	2697	533
835	2700	529
836	2703	526
837	2706	523
838	2709	519
839	2712	516
840	2715	513
841	2718	510
842	2721	506
843	2724	503
844	2727	500
845	2731	497
846	2734	493
847	2737	490
848	2740	487
849	2743	484
850	2746	480
851	2751	477
852	2754	474
853	2757	471
854	2759	468
855	2762	464
856	2765	461
857	2768	458
858	2772	455
859	2775	451
860	2778	448
861	2781	445
862	2784	442
863	2788	438
864	2790	435
865	2793	432
866	2796	429
867	2799	425
868	2802	422
869	2806	419
870	2808	416
871	2812	412
872	2815	409
873	2818	406
874	2821	403
875	2824	399
876	2828	396
877	2831	393
878	2834	390
879	2837	386
880	2840	383
881	2843	380
882	2846	377
883	2849	373
884	2852	370
885	2855	367
886	2858	364
887	2861	360
888	2864	357
889	2867	354
890	2870	351
891	2874	348
892	2877	344
893	2880	341
894	2883	338
895	2886	335
896	2889	331
897	2892	328
898	2895	325
899	2898	322
900	2902	318
901	2904	315
902	2908	312
903	2911	309
904	2914	305
905	2917	302
906	2920	299
907	2923	296
908	2926	292
909	2929	289
910	2933	286
911	2936	283
912	2939	280
913	2942	276
914	2945	273
915	2947	270
916	2950	267
917	2953	263
918	2956	260
919	2959	257
920	2963	254
921	2966	250
922	2969	247
923	2972	244
924	2975	241
925	2978	238
926	2981	234
927	2984	231
928	2987	228
929	2990	225
930	2993	221
931	2996	218
932	3000	215
933	3003	212
934	3006	208
935	3009	205
936	3012	202
937	3015	199
938	3018	196
939	3021	192
940	3024	189
941	3027	186
942	3030	183
943	3033	179
944	3036	176
945	3039	173
946	3042	170
947	3045	167
948	3048	163
949	3051	160
950	3054	157
951	3057	154
952	3061	150
953	3064	147
954	3067	144
955	3070	141
956	3073	138
957	3076	134
958	3079	131
959	3083	128
960	3085	125
961	3089	122
962	3092	118
963	3095	115
964	3098	112
965	3101	109
966	3104	105
967	3107	102
968	3110	99
969	3113	96
970	3116	93
971	3119	89
972	3122	86
973	3125	83
974	3128	80
975	3131	77
976	3135	73
977	3137	70
978	3141	67
979	3144	64
980	3147	60
981	3150	57
982	3153	54
983	3156	51
984	3159	48
985	3162	44
986	3165	41
987	3169	38
988	3171	35
989	3174	32
990	3177	28
991	3180	25
992	3183	22
993	3186	19
994	3189	16
995	3192	12
996	3195	9
997	3198	6
998	3201	3
999	3204	0
